file,riga,descrizione
preview_engine.py,194,Avvia il blocco 'try'
preview_engine.py,195,Verifica il flag 'self'
preview_engine.py,196,Valuta l'espressione 'self.renderer.load(html_full)'
preview_engine.py,197,Gestisce l'eccezione 'Exception' come 'e'
preview_engine.py,198,Chiama la funzione 'show_error'
preview_engine.py,200,Definisce la funzione 'dispose'
preview_engine.py,201,Verifica il flag 'self'
preview_engine.py,202,Valuta l'espressione 'self.renderer.dispose()'
preview_engine.py,203,Verifica il flag 'self'
preview_engine.py,204,Valuta l'espressione 'self.container.destroy()'
template_builder.py,1,Importa il simbolo 'annotations' da '__future__'
template_builder.py,3,Valuta l'espressione 'Template Builder 2.3 – core module completo'
template_builder.py,4,Valuta l'espressione 'Con:'
template_builder.py,5,Verifica il placeholder 'uniforme'
template_builder.py,6,Valuta l'espressione '- move/up/down e delete in ImageRepeaterField'
template_builder.py,7,Valuta l'espressione '- validazione URL che ignora i placeholder'
template_builder.py,8,"Valuta l'espressione '- supporto a PreviewEngine, quick‐save, smart‐paste, multi‐text formatting, etc.'"
template_builder.py,9,Valuta l'espressione '- Preview tab con sottoviste 'HTML Source' e 'Web Preview''
template_builder.py,11,Importa il modulo 're'
template_builder.py,12,Importa il modulo 'json'
template_builder.py,13,Importa il modulo 'time'
template_builder.py,14,Importa il modulo 'math'
template_builder.py,15,Importa il simbolo 'Path' da 'pathlib'
template_builder.py,16,Importa il simbolo 'Callable' da 'typing'
template_builder.py,18,Importa il modulo 'json'
template_builder.py,20,Importa il modulo 'tkinter'
template_builder.py,22,Importa il modulo 'jinja2'
template_builder.py,23,Avvia il blocco 'try'
template_builder.py,24,Importa il simbolo 'pass_context' da 'jinja2'
template_builder.py,25,Gestisce l'eccezione 'ImportError'
template_builder.py,26,Importa il simbolo 'contextfilter' da 'jinja2'
template_builder.py,29,Importa il modulo 'jinja2'
template_builder.py,32,Avvia il blocco 'try'
template_builder.py,33,Importa il simbolo 'pass_context' da 'jinja2'
template_builder.py,34,Gestisce l'eccezione 'ImportError'
template_builder.py,35,Importa il simbolo 'contextfilter' da 'jinja2'
template_builder.py,38,Applica il decoratore '@pass_context'
template_builder.py,39,Definisce la funzione 'steps_bind'
template_builder.py,41,Valuta l'espressione 'Converte RECIPE_STEPS_TEXT (multilinea) in lista di dict'
template_builder.py,42,"Valuta l'espressione 'e abbina, in ordine, le foto presenti in IMAGES_STEP.'"
template_builder.py,44,"Valuta l'espressione '• IMAGES_STEP può contenere tuple  (src, alt)'"
template_builder.py,45,"Valuta l'espressione 'oppure dict {\'src\': \'...\', \'alt\': \'...\'}'"
template_builder.py,46,"Valuta l'espressione '• Se mancano foto, lo step mostra solo testo.'"
template_builder.py,50,Verifica il flag 'not'
template_builder.py,51,Assegna valore alla variabile 'lines'
template_builder.py,52,Gestisce il ramo 'else'
template_builder.py,53,Assegna valore alla variabile 'raw'
template_builder.py,55,Verifica il flag 'raw'
template_builder.py,56,Assegna valore alla variabile 'raw'
template_builder.py,57,Assegna valore alla variabile 'lines'
template_builder.py,60,Assegna valore alla variabile 'step_imgs'
template_builder.py,61,Importa il modulo 'sys'
template_builder.py,62,Chiama il metodo 'pprint' su 'pprint'
template_builder.py,64,Assegna valore alla variabile 'steps'
template_builder.py,65,Itera con il ciclo 'for'
template_builder.py,66,Assegna valore alla variabile 'src'
template_builder.py,68,Verifica il flag 'i'
template_builder.py,69,Assegna valore alla variabile 'item'
template_builder.py,72,Verifica il flag 'isinstance'
template_builder.py,73,Assegna valore alla variabile 'src'
template_builder.py,74,Assegna valore alla variabile 'alt'
template_builder.py,77,Verifica una condizione con 'elif'
template_builder.py,78,Assegna valore alla variabile 'src'
template_builder.py,79,Assegna valore alla variabile 'alt'
template_builder.py,81,Chiama il metodo 'append' su 'steps'
template_builder.py,83,Restituisce il valore di 'steps'
template_builder.py,87,Valuta l'espressione 'jinja2.defaults.DEFAULT_FILTERS['steps_bind'] = steps_bind'
template_builder.py,91,Importa il modulo 'jinja2'
template_builder.py,92,Valuta l'espressione 'jinja2.defaults.DEFAULT_FILTERS['nl2br'] = lambda v: '<br>'.join(x.strip() for x in (v or '').splitlines())'
template_builder.py,94,Importa il simbolo 'ttk' da 'tkinter'
template_builder.py,95,Importa il simbolo 'Template' da 'jinja2'
template_builder.py,97,Importa il simbolo 'validate_image_url' da 'validators'
template_builder.py,98,Importa il simbolo '(' da 'ui_utils'
template_builder.py,99,"Valuta l'espressione 'styled_option_menu,'"
template_builder.py,100,"Valuta l'espressione 'styled_spinbox,'"
template_builder.py,101,"Valuta l'espressione 'show_info,'"
template_builder.py,102,"Valuta l'espressione 'show_warning,'"
template_builder.py,103,"Valuta l'espressione 'show_error,'"
template_builder.py,104,"Valuta l'espressione 'StyledText,'"
template_builder.py,105,"Valuta l'espressione 'PlaceholderEntry,'"
template_builder.py,106,"Valuta l'espressione 'PlaceholderMultiTextField,'"
template_builder.py,107,Valuta l'espressione ')'
template_builder.py,109,Avvia il blocco 'try'
template_builder.py,110,Importa il simbolo 'PreviewEngine' da 'preview_engine'
template_builder.py,111,Gestisce l'eccezione 'ImportError'
template_builder.py,112,Assegna valore alla variabile 'PreviewEngine'
template_builder.py,115,Assegna valore alla variabile 'BASE_DIR'
template_builder.py,116,Assegna valore alla variabile 'TEMPLATE_FOLDER'
template_builder.py,117,Assegna valore alla variabile 'EXPORT_FOLDER'
template_builder.py,118,Assegna valore alla variabile 'HISTORY_FOLDER'
template_builder.py,119,Itera con il ciclo 'for'
template_builder.py,120,Chiama il metodo 'mkdir' su 'p'
template_builder.py,123,Assegna valore alla variabile 'PLACEHOLDER_REGEX'
template_builder.py,125,Definisce la funzione 'extract_placeholders'
template_builder.py,126,Valuta l'espressione 'return sorted(set(PLACEHOLDER_REGEX.findall(html)))'
template_builder.py,128,Definisce la funzione 'smart_paste'
template_builder.py,129,Verifica il flag 'not'
template_builder.py,130,Valuta l'espressione 'return []'
template_builder.py,131,Assegna valore alla variabile 'lines'
template_builder.py,132,Verifica il flag 'len'
template_builder.py,133,Valuta l'espressione 'return [s.strip() for s in lines[0].split(';') if s.strip()]'
template_builder.py,134,Restituisce il valore di 'lines'
template_builder.py,136,Definisce la funzione 'auto_format'
template_builder.py,137,Verifica il flag 'not'
template_builder.py,138,Valuta l'espressione 'return '''
template_builder.py,139,Verifica una condizione con 'if'
template_builder.py,140,Restituisce il valore di 'text'
template_builder.py,141,Assegna valore alla variabile 'lines'
template_builder.py,142,Verifica il flag 'not'
template_builder.py,143,Valuta l'espressione 'return '''
template_builder.py,144,Verifica il flag 'mode'
template_builder.py,145,Assegna valore alla variabile 'items'
template_builder.py,146,Valuta l'espressione 'return f'<ul>\n{items}\n</ul>''
template_builder.py,147,Verifica il flag 'mode'
template_builder.py,148,Valuta l'espressione 'return '\n'.join(f'<p>{ln}</p>' for ln in lines)'
template_builder.py,149,Restituisce il valore di 'text'
template_builder.py,151,Definisce la funzione 'images_to_html'
template_builder.py,153,Verifica il flag 'not'
template_builder.py,154,Valuta l'espressione 'return '''
template_builder.py,155,Valuta l'espressione 'html_lines: List[str] = []'
template_builder.py,156,Assegna valore alla variabile 'per'
template_builder.py,157,Assegna valore alla variabile 'width_pct'
template_builder.py,158,Itera con il ciclo 'for'
template_builder.py,159,Assegna valore alla variabile 'chunk'
template_builder.py,160,Verifica il flag 'len'
template_builder.py,161,Chiama il metodo 'append' su 'html_lines'
template_builder.py,162,Itera con il ciclo 'for'
template_builder.py,163,Verifica il flag 'src'
template_builder.py,164,Valuta l'espressione 'html_lines.append('
template_builder.py,165,"Genera il tag '<img>' con attributi 'src', 'alt' e stile di larghezza percentuale"
template_builder.py,166,Genera il tag '<img>' con stile di visualizzazione inline-block
template_builder.py,167,Valuta l'espressione ')'
template_builder.py,168,Chiama il metodo 'append' su 'html_lines'
template_builder.py,169,Gestisce il ramo 'else'
template_builder.py,170,Chiama il metodo 'append' su 'html_lines'
template_builder.py,171,Itera con il ciclo 'for'
template_builder.py,172,Verifica il flag 'src'
template_builder.py,173,Valuta l'espressione 'html_lines.append('
template_builder.py,174,Genera il tag '<img>' con attributi 'src' e 'alt' nella versione full-width
template_builder.py,175,Genera il tag '<img>' centrato con larghezza massima al 90 %
template_builder.py,176,Valuta l'espressione ')'
template_builder.py,177,Chiama il metodo 'append' su 'html_lines'
template_builder.py,178,Valuta l'espressione 'return '\n'.join(html_lines)'
template_builder.py,181,Definisce la classe 'MultiTextField'
template_builder.py,183,Valuta l'espressione 'Multi-line area:'
template_builder.py,184,Valuta l'espressione 'mode='ul'  → newline → <ul><li>..</li>'
template_builder.py,185,Valuta l'espressione 'mode='p'   → newline → <p>..</p>'
template_builder.py,187,Definisce la funzione '__init__'
template_builder.py,188,Chiama la funzione 'super'
template_builder.py,189,Valuta l'espressione 'self.mode = mode'
template_builder.py,190,Valuta l'espressione 'self.on_change = on_change'
template_builder.py,191,Chiama il metodo 'configure' su 'self'
template_builder.py,192,"Valuta l'espressione 'self.text.bind('<KeyRelease>', lambda e: self.on_change(), add='+')'"
template_builder.py,193,"Valuta l'espressione 'self.text.bind('<Control-v>', self._handle_paste, add='+')'"
template_builder.py,194,"Valuta l'espressione 'self.text.bind('<Command-v>', self._handle_paste, add='+')'"
template_builder.py,196,Definisce la funzione '_handle_paste'
template_builder.py,197,Avvia il blocco 'try'
template_builder.py,198,Assegna valore alla variabile 'clip'
template_builder.py,199,Gestisce il blocco 'except'
template_builder.py,200,Valuta l'espressione 'return 'break''
template_builder.py,201,Assegna valore alla variabile 'lines'
template_builder.py,202,Verifica il flag 'not'
template_builder.py,203,Valuta l'espressione 'return 'break''
template_builder.py,204,Itera con il ciclo 'for'
template_builder.py,205,"Valuta l'espressione 'self.text.insert(tk.INSERT, ln)'"
template_builder.py,206,Verifica il flag 'i'
template_builder.py,207,"Valuta l'espressione 'self.text.insert(tk.INSERT, '\n')'"
template_builder.py,208,Chiama il metodo 'on_change' su 'self'
template_builder.py,209,Valuta l'espressione 'return 'break''
template_builder.py,211,Definisce la funzione 'render_html'
template_builder.py,212,Assegna valore alla variabile 'txt'
template_builder.py,213,Verifica il flag 'not'
template_builder.py,214,Assegna valore alla variabile 'lines'
template_builder.py,215,Verifica il flag 'self'
template_builder.py,216,Restituisce una lista HTML '<ul>' con un elemento '<li>' per ogni riga
template_builder.py,217,Verifica il flag 'self'
template_builder.py,218,Restituisce una sequenza di paragrafi HTML '<p>' per ogni riga
template_builder.py,220,Definisce la classe 'ImageRepeaterField'
template_builder.py,222,Valuta l'espressione 'Ripetitore URL+ALT con:'
template_builder.py,223,Verifica il placeholder 'uniforme'
template_builder.py,224,Valuta l'espressione '- move up/down e delete per ogni riga'
template_builder.py,225,Valuta l'espressione '- validazione URL che ignora i placeholder'
template_builder.py,227,Definisce la funzione '__init__'
template_builder.py,228,Chiama la funzione 'super'
template_builder.py,229,Valuta l'espressione 'self.on_change = on_change'
template_builder.py,230,Valuta l'espressione 'self.rows: List[tk.Frame] = []'
template_builder.py,231,Assegna valore alla variabile 'hdr'
template_builder.py,232,Chiama il metodo 'pack' su 'hdr'
template_builder.py,233,Chiama il metodo 'Label' su 'ttk'
template_builder.py,234,Chiama il metodo 'Label' su 'ttk'
template_builder.py,235,Chiama il metodo 'Button' su 'ttk'
template_builder.py,237,Definisce la funzione '_mk_ph_entry'
template_builder.py,238,Assegna valore alla variabile 'ph'
template_builder.py,239,"Valuta l'espressione 'return PlaceholderEntry(master, placeholder=ph, width=width)'"
template_builder.py,241,Definisce la funzione 'add_row'
template_builder.py,242,Assegna valore alla variabile 'row'
template_builder.py,243,Assegna valore alla variabile 'e_url'
template_builder.py,244,Chiama il metodo 'pack' su 'e_url'
template_builder.py,245,Chiama il metodo 'bind' su 'e_url'
template_builder.py,246,Chiama il metodo 'bind' su 'e_url'
template_builder.py,247,Chiama il metodo 'bind' su 'e_url'
template_builder.py,248,Assegna valore alla variabile 'e_alt'
template_builder.py,249,Chiama il metodo 'pack' su 'e_alt'
template_builder.py,250,Chiama il metodo 'bind' su 'e_alt'
template_builder.py,251,Assegna valore alla variabile 'btn_up'
template_builder.py,252,Assegna valore alla variabile 'btn_down'
template_builder.py,253,Assegna valore alla variabile 'btn_del'
template_builder.py,254,Itera con il ciclo 'for'
template_builder.py,255,Chiama il metodo 'pack' su 'btn'
template_builder.py,256,Valuta l'espressione 'self.rows.append(row)'
template_builder.py,257,Chiama il metodo '_validate_and_notify' su 'self'
template_builder.py,259,Definisce la funzione '_smart_paste_urls'
template_builder.py,260,Avvia il blocco 'try'
template_builder.py,261,Assegna valore alla variabile 'clip'
template_builder.py,262,Gestisce il blocco 'except'
template_builder.py,263,Valuta l'espressione 'return 'break''
template_builder.py,264,Assegna valore alla variabile 'urls'
template_builder.py,265,Verifica il flag 'not'
template_builder.py,266,Valuta l'espressione 'return 'break''
template_builder.py,267,Chiama il metodo 'delete' su 'entry'
template_builder.py,268,Itera con il ciclo 'for'
template_builder.py,269,Chiama il metodo 'add_row' su 'self'
template_builder.py,270,Chiama il metodo 'on_change' su 'self'
template_builder.py,271,Valuta l'espressione 'return 'break''
template_builder.py,273,Definisce la funzione '_validate_and_notify'
template_builder.py,274,Assegna valore alla variabile 'url'
template_builder.py,275,Verifica il flag 'not'
template_builder.py,276,Chiama il metodo 'configure' su 'entry'
template_builder.py,277,Gestisce il ramo 'else'
template_builder.py,278,Avvia il blocco 'try'
template_builder.py,279,Chiama la funzione 'validate_image_url'
template_builder.py,280,Chiama il metodo 'configure' su 'entry'
template_builder.py,281,Gestisce l'eccezione 'ImageValidationError' come 'e'
template_builder.py,282,Chiama il metodo 'configure' su 'entry'
template_builder.py,283,Chiama la funzione 'show_warning'
template_builder.py,284,Verifica il flag 'entry'
template_builder.py,285,Chiama il metodo 'configure' su 'entry'
template_builder.py,286,Gestisce il ramo 'else'
template_builder.py,287,Chiama il metodo 'configure' su 'entry'
template_builder.py,288,Valuta l'espressione 'return self.on_change()'
template_builder.py,290,Definisce la funzione '_del'
template_builder.py,291,Chiama il metodo 'destroy' su 'row'
template_builder.py,293,Definisce la funzione '_move'
template_builder.py,294,Assegna valore alla variabile 'idx'
template_builder.py,295,Verifica una condizione con 'if'
template_builder.py,296,"Valuta l'espressione 'self.rows.pop(idx); self.rows.insert(new, row)'"
template_builder.py,297,Itera con il ciclo 'for'
template_builder.py,298,Chiama il metodo 'pack_forget' su 'r'
template_builder.py,300,Definisce la funzione 'get_rows'
template_builder.py,301,"Valuta l'espressione 'return [(r.winfo_children()[0].get().strip(), r.winfo_children()[1].get().strip())'"
template_builder.py,302,Itera con il ciclo 'for'
template_builder.py,305,Definisce la classe 'BuilderApp'
template_builder.py,306,Definisce la funzione '__init__'
template_builder.py,307,Chiama la funzione 'super'
template_builder.py,308,Chiama il metodo 'title' su 'self'
template_builder.py,309,Chiama il metodo 'geometry' su 'self'
template_builder.py,310,Chiama il metodo 'configure' su 'self'
template_builder.py,312,Valuta l'espressione 'self.cols_desc = tk.IntVar(value=2)'
template_builder.py,313,Valuta l'espressione 'self.cols_rec  = tk.IntVar(value=1)'
template_builder.py,314,"Valuta l'espressione 'self.fields: Dict[str, Union[MultiTextField, PlaceholderMultiTextField]] = {}'"
template_builder.py,315,Valuta l'espressione 'self.img_desc:  ImageRepeaterField | None = None'
template_builder.py,316,Valuta l'espressione 'self.img_rec:   ImageRepeaterField | None = None'
template_builder.py,317,Valuta l'espressione 'self.img_other: ImageRepeaterField | None = None'
template_builder.py,318,Valuta l'espressione 'self.preview_engine = None'
template_builder.py,320,Avvia il blocco 'try'
template_builder.py,321,Importa il simbolo 'Style' da 'ttkbootstrap'
template_builder.py,322,Chiama la funzione 'Style'
template_builder.py,323,Gestisce l'eccezione 'Exception'
template_builder.py,324,Valuta l'espressione 'pass'
template_builder.py,326,Chiama il metodo 'bind_all' su 'self'
template_builder.py,327,Chiama il metodo 'bind_all' su 'self'
template_builder.py,329,"Valuta l'espressione 'self.nb = ttk.Notebook(self); self.nb.pack(fill='both', expand=True, padx=8, pady=6)'"
template_builder.py,330,"Valuta l'espressione 'self.nb.bind('<<NotebookTabChanged>>', self._on_tab_change)'"
template_builder.py,331,Itera con il ciclo 'for'
template_builder.py,332,Chiama il metodo 'bind_all' su 'self'
template_builder.py,334,Assegna valore alla variabile 'top'
template_builder.py,335,Chiama il metodo 'Label' su 'ttk'
template_builder.py,336,Valuta l'espressione 'self.template_var = tk.StringVar()'
template_builder.py,337,"Valuta l'espressione 'self.cbo = styled_option_menu(top, self.template_var, []); self.cbo.pack(side='left', padx=6)'"
template_builder.py,338,Chiama il metodo 'Button' su 'ttk'
template_builder.py,340,Assegna valore alla variabile 'status'
template_builder.py,341,"Valuta l'espressione 'self.status = ttk.Label(status, text='Ready', anchor='w'); self.status.pack(side='left', fill='x', expand=True, padx=4)'"
template_builder.py,342,Chiama il metodo 'Button' su 'ttk'
template_builder.py,343,Valuta l'espressione 'self.detail_frame = ttk.Frame(self)'
template_builder.py,344,"Valuta l'espressione 'self.detail_label = ttk.Label(self.detail_frame, text='', anchor='w', justify='left', wraplength=1000)'"
template_builder.py,346,Chiama il metodo '_load_templates' su 'self'
template_builder.py,348,Definisce la funzione '_on_tab_change'
template_builder.py,349,Assegna valore alla variabile 'sel'
template_builder.py,350,Verifica il flag 'sel'
template_builder.py,351,Chiama la funzione 'show_warning'
template_builder.py,353,Definisce la funzione '_toggle_details'
template_builder.py,354,Verifica il flag 'self'
template_builder.py,355,Valuta l'espressione 'self.detail_frame.pack_forget()'
template_builder.py,356,Gestisce il ramo 'else'
template_builder.py,357,"Valuta l'espressione 'self.detail_frame.pack(fill='x'); self.detail_label.pack(fill='x', padx=8, pady=2)'"
template_builder.py,359,Definisce la funzione '_on_mousewheel'
template_builder.py,360,Avvia il blocco 'try'
template_builder.py,361,Assegna valore alla variabile 'frame'
template_builder.py,362,Gestisce l'eccezione 'Exception'
template_builder.py,363,Valuta l'espressione 'return'
template_builder.py,364,Definisce la funzione 'find_canvas'
template_builder.py,365,Verifica il flag 'isinstance'
template_builder.py,366,Restituisce il valore di 'w'
template_builder.py,367,Itera con il ciclo 'for'
template_builder.py,368,Assegna valore alla variabile 'f'
template_builder.py,369,Verifica il flag 'f'
template_builder.py,370,Restituisce il valore di 'f'
template_builder.py,371,Restituisce il valore di 'None'
template_builder.py,372,Assegna valore alla variabile 'canvas'
template_builder.py,373,Verifica il flag 'not'
template_builder.py,374,Valuta l'espressione 'return'
template_builder.py,375,Verifica il flag 'hasattr'
